module,source_set,api,source,line,android,desktop,composable,required_parameters,state_parameters,callbacks_or_builders,compose_slots,all_parameters_with_defaults
cupertino,commonMain,CupertinoBottomSheetScaffold,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheetScaffold.kt,105,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,sheetContent: @Composable () -> Unit; content: @Composable (PaddingValues) -> Unit,scaffoldState: CupertinoBottomSheetScaffoldState = rememberCupertinoBottomSheetScaffoldState(),,sheetContent: @Composable () -> Unit; sheetDragHandle: @Composable (() -> Unit)? = if (scaffoldState.bottomSheetState.hasPartiallyExpandedState)         null else {         { CupertinoBottomSheetDefaults.DragHandle() }     }; topBar: @Composable (() -> Unit)? = null; bottomBar: @Composable (() -> Unit)? = null; content: @Composable (PaddingValues) -> Unit,sheetContent: @Composable () -> Unit; modifier: Modifier = Modifier; windowInsets: WindowInsets = CupertinoScaffoldDefaults.contentWindowInsets; scaffoldState: CupertinoBottomSheetScaffoldState = rememberCupertinoBottomSheetScaffoldState(); colors: CupertinoBottomSheetScaffoldColors = CupertinoBottomSheetScaffoldDefaults.colors(); sheetShape: Shape = CupertinoBottomSheetDefaults.shape; sheetShadowElevation: Dp = CupertinoBottomSheetDefaults.ShadowElevation; sheetDragHandle: @Composable (() -> Unit)? = if (scaffoldState.bottomSheetState.hasPartiallyExpandedState)         null else {         { CupertinoBottomSheetDefaults.DragHandle() }     }; sheetSwipeEnabled: Boolean = true; topBar: @Composable (() -> Unit)? = null; bottomBar: @Composable (() -> Unit)? = null; appBarsBlurAlpha: Float = CupertinoScaffoldDefaults.AppBarsBlurAlpha; appBarsBlurRadius: Dp = CupertinoScaffoldDefaults.AppBarsBlurRadius; hasNavigationTitle: Boolean = false; content: @Composable (PaddingValues) -> Unit
cupertino,commonMain,rememberCupertinoBottomSheetScaffoldState,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheetScaffold.kt,195,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,bottomSheetState: CupertinoSheetState = rememberCupertinoSheetState(),,,bottomSheetState: CupertinoSheetState = rememberCupertinoSheetState()
cupertino,commonMain,CupertinoBottomSheetScaffoldDefaults.colors,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoBottomSheetScaffold.kt,219,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,sheetContainerColor: Color = CupertinoBottomSheetDefaults.containerColor; sheetContentColor: Color = CupertinoBottomSheetDefaults.contentColor; containerColor: Color = CupertinoTheme.colorScheme.systemBackground; contentColor: Color = CupertinoTheme.colorScheme.label; scrimColor: Color = CupertinoColors.DefaultAlpha; scaledScaffoldBackgroundColor: Color = CupertinoColors.Black
cupertino,commonMain,CupertinoButton,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,88,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,onClick: () -> Unit; content: @Composable RowScope.() -> Unit,,onClick: () -> Unit,content: @Composable RowScope.() -> Unit,onClick: () -> Unit; modifier: Modifier = Modifier; enabled: Boolean = true; size: CupertinoButtonSize = CupertinoButtonSize.Regular; colors: CupertinoButtonColors = filledButtonColors(); border: BorderStroke? = null; shape: Shape = size.shape(CupertinoTheme.shapes); contentPadding: PaddingValues = size.contentPadding; interactionSource: MutableInteractionSource = remember { MutableInteractionSource() }; content: @Composable RowScope.() -> Unit
cupertino,commonMain,CupertinoIconButton,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,145,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,onClick: () -> Unit; content: @Composable () -> Unit,,onClick: () -> Unit,content: @Composable () -> Unit,onClick: () -> Unit; modifier: Modifier = Modifier; enabled: Boolean = true; colors: CupertinoButtonColors = plainButtonColors(); border: BorderStroke? = null; interactionSource: MutableInteractionSource = remember { MutableInteractionSource() }; content: @Composable () -> Unit
cupertino,commonMain,CupertinoButtonColors.containerColor,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,194,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,enabled: Boolean,,,,enabled: Boolean
cupertino,commonMain,CupertinoButtonColors.contentColor,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,204,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,enabled: Boolean,,,,enabled: Boolean
cupertino,commonMain,CupertinoButtonColors.equals,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,208,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,other: Any?,,,,other: Any?
cupertino,commonMain,CupertinoButtonColors.hashCode,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,220,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,CupertinoButtonDefaults.grayButtonColors,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,238,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,contentColor: Color = CupertinoTheme.colorScheme.accent; containerColor: Color = CupertinoTheme.colorScheme.quaternarySystemFill; disabledContentColor: Color = CupertinoTheme.colorScheme.tertiaryLabel; disabledContainerColor: Color = CupertinoTheme.colorScheme.quaternarySystemFill; indicationColor: Color = CupertinoColors.DefaultAlpha
cupertino,commonMain,CupertinoButtonDefaults.plainButtonColors,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,257,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,contentColor: Color = CupertinoTheme.colorScheme.accent; containerColor: Color = Color.Transparent; disabledContentColor: Color = CupertinoTheme.colorScheme.tertiaryLabel; disabledContainerColor: Color = Color.Transparent; indicationColor: Color = Color.Transparent
cupertino,commonMain,CupertinoButtonDefaults.filledButtonColors,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,277,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,contentColor: Color = Color.White; containerColor: Color = CupertinoTheme.colorScheme.accent; disabledContentColor: Color = CupertinoTheme.colorScheme.tertiaryLabel; disabledContainerColor: Color = CupertinoTheme.colorScheme.quaternarySystemFill; indicationColor: Color = contentColor.copy(alpha = .2f)
cupertino,commonMain,CupertinoButtonDefaults.tintedButtonColors,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,296,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,contentColor: Color = CupertinoTheme.colorScheme.accent; containerColor: Color = contentColor.copy(alpha = CupertinoButtonTokens.BorderedButtonAlpha); disabledContentColor: Color = CupertinoTheme.colorScheme.tertiaryLabel; disabledContainerColor: Color = CupertinoTheme.colorScheme.quaternarySystemFill; indicationColor: Color = contentColor.copy(alpha = .15f)
cupertino,commonMain,CupertinoButtonDefaults.borderedProminentButtonColors,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,322,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,contentColor: Color = Color.White; containerColor: Color = CupertinoTheme.colorScheme.accent; disabledContentColor: Color = CupertinoTheme.colorScheme.tertiaryLabel; disabledContainerColor: Color = CupertinoTheme.colorScheme.quaternarySystemFill; indicationColor: Color = contentColor.copy(alpha = .2f)
cupertino,commonMain,CupertinoButtonDefaults.borderedButtonColors,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,348,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,contentColor: Color = CupertinoTheme.colorScheme.accent; containerColor: Color = contentColor.copy(alpha = CupertinoButtonTokens.BorderedButtonAlpha); disabledContentColor: Color = CupertinoTheme.colorScheme.tertiaryLabel; disabledContainerColor: Color = CupertinoTheme.colorScheme.quaternarySystemFill; indicationColor: Color = contentColor.copy(alpha = .15f)
cupertino,commonMain,CupertinoButtonDefaults.borderlessButtonColors,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,374,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,contentColor: Color = CupertinoTheme.colorScheme.accent; containerColor: Color = Color.Transparent; disabledContentColor: Color = CupertinoTheme.colorScheme.tertiaryLabel; disabledContainerColor: Color = Color.Transparent; indicationColor: Color = Color.Transparent
cupertino,commonMain,CupertinoButtonDefaults.borderedGrayButtonColors,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoButton.kt,400,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,contentColor: Color = CupertinoTheme.colorScheme.accent; containerColor: Color = CupertinoTheme.colorScheme.quaternarySystemFill; disabledContentColor: Color = CupertinoTheme.colorScheme.tertiaryLabel; disabledContainerColor: Color = CupertinoTheme.colorScheme.quaternarySystemFill; indicationColor: Color = CupertinoColors.DefaultAlpha
cupertino,commonMain,CupertinoCheckBox,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoCheckbox.kt,36,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,checked: Boolean; onCheckedChange: ((Boolean) -> Unit)?,,onCheckedChange: ((Boolean) -> Unit)?,,checked: Boolean; onCheckedChange: ((Boolean) -> Unit)?; modifier: Modifier = Modifier; enabled: Boolean = true; colors: CupertinoCheckboxColors = CupertinoCheckboxDefaults.colors(); interactionSource: MutableInteractionSource = remember { MutableInteractionSource() }
cupertino,commonMain,CupertinoTriStateCheckBox,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoCheckbox.kt,59,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,state: ToggleableState; onClick: (() -> Unit)?,state: ToggleableState,onClick: (() -> Unit)?,,state: ToggleableState; onClick: (() -> Unit)?; modifier: Modifier = Modifier; enabled: Boolean = true; colors: CupertinoCheckboxColors = CupertinoCheckboxDefaults.colors(); interactionSource: MutableInteractionSource = remember { MutableInteractionSource() }
cupertino,commonMain,CupertinoCheckboxDefaults.colors,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoCheckbox.kt,97,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,checkedCheckmarkColor: Color = CupertinoTheme.colorScheme.systemBackground; uncheckedCheckmarkColor: Color = Color.Transparent; checkedBoxColor: Color = CupertinoTheme.colorScheme.accent; uncheckedBoxColor: Color = Color.Transparent; disabledCheckedBoxColor: Color = CupertinoTheme.colorScheme.secondarySystemBackground; disabledUncheckedBoxColor: Color = uncheckedBoxColor; disabledIndeterminateBoxColor: Color = disabledCheckedBoxColor; checkedBorderColor: Color = Color.Transparent; uncheckedBorderColor: Color = CupertinoTheme.colorScheme.systemFill; disabledBorderColor: Color = checkedBorderColor; disabledUncheckedBorderColor: Color = CupertinoTheme.colorScheme.quaternarySystemFill; disabledIndeterminateBorderColor: Color = disabledBorderColor
cupertino,commonMain,CupertinoCheckboxColors.copy,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoCheckbox.kt,169,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,checkedCheckmarkColor: Color = this.checkedCheckmarkColor; uncheckedCheckmarkColor: Color = this.uncheckedCheckmarkColor; checkedBoxColor: Color = this.checkedBoxColor; uncheckedBoxColor: Color = this.uncheckedBoxColor; disabledCheckedBoxColor: Color = this.disabledCheckedBoxColor; disabledUncheckedBoxColor: Color = this.disabledUncheckedBoxColor; disabledIndeterminateBoxColor: Color = this.disabledIndeterminateBoxColor; checkedBorderColor: Color = this.checkedBorderColor; uncheckedBorderColor: Color = this.uncheckedBorderColor; disabledBorderColor: Color = this.disabledBorderColor; disabledUncheckedBorderColor: Color = this.disabledUncheckedBorderColor; disabledIndeterminateBorderColor: Color = this.disabledIndeterminateBorderColor
cupertino,commonMain,CupertinoCheckboxColors.equals,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoCheckbox.kt,265,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,other: Any?,,,,other: Any?
cupertino,commonMain,CupertinoCheckboxColors.hashCode,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoCheckbox.kt,283,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,rememberCupertinoDatePickerState,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDatePicker.kt,127,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,initialSelectedDateMillis: Long = CupertinoDatePickerDefaults.today.utcTimeMillis; yearRange: IntRange = CupertinoDatePickerDefaults.YearRangeLarge
cupertino,commonMain,CupertinoDatePicker,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDatePicker.kt,145,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,state: CupertinoDatePickerState,state: CupertinoDatePickerState,,,state: CupertinoDatePickerState; modifier: Modifier = Modifier; style: DatePickerStyle = DatePickerStyle.Wheel(); containerColor: Color = LocalContainerColor.current.takeOrElse {         CupertinoTheme.colorScheme.secondarySystemGroupedBackground     }
cupertino,commonMain,CupertinoDatePickerState.setSelection,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDatePicker.kt,245,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,"@Suppress(""AutoBoxing"") dateMillis: Long",,,,"@Suppress(""AutoBoxing"") dateMillis: Long"
cupertino,commonMain,CupertinoDatePickerState.Companion.Saver,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDatePicker.kt,265,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,CupertinoDatePickerColors.equals,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDatePicker.kt,385,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,other: Any?,,,,other: Any?
cupertino,commonMain,CupertinoDatePickerColors.hashCode,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDatePicker.kt,406,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,calculatePagerHeight,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDatePicker.kt,1426,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,verticalSpacing: Dp; maxDaySize: Dp,,,,verticalSpacing: Dp; maxDaySize: Dp
cupertino,commonMain,rememberCupertinoDateTimePickerState,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDateTimePicker.kt,71,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,initialSelectedDateMillis: Long = CupertinoDatePickerDefaults.today.utcTimeMillis; initialHour: Int = 0; initialMinute: Int = 0; is24Hour: Boolean = PlatformDateFormat.is24HourFormat(defaultLocale()); yearRange: IntRange = CupertinoDatePickerDefaults.YearRangeSmall
cupertino,commonMain,CupertinoDateTimePicker,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDateTimePicker.kt,96,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,state: CupertinoDateTimePickerState,state: CupertinoDateTimePickerState,,,state: CupertinoDateTimePickerState; style: DatePickerStyle = DatePickerStyle.Wheel(); containerColor : Color = LocalContainerColor.current.takeOrElse {         CupertinoTheme.colorScheme.secondarySystemGroupedBackground     }; modifier: Modifier = Modifier
cupertino,commonMain,DatePickerStyle.Pager.equals,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDateTimePicker.kt,134,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,other: Any?,,,,other: Any?
cupertino,commonMain,DatePickerStyle.Pager.hashCode,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDateTimePicker.kt,149,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,DatePickerStyle.Wheel.equals,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDateTimePicker.kt,171,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,other: Any?,,,,other: Any?
cupertino,commonMain,DatePickerStyle.Wheel.hashCode,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDateTimePicker.kt,183,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,,,,,
cupertino,commonMain,DatePickerStyle.Companion.Pager,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDateTimePicker.kt,192,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,textStyles: CupertinoDatePickerTextStyles = CupertinoDatePickerDefaults.pagerTextStyles(); colors: CupertinoDatePickerColors = CupertinoDatePickerDefaults.pagerColors(); rowSpacing : Dp = 6.dp; rowMaxHeight : Dp = CupertinoButtonTokens.IconButtonSize; userScrollEnabled : Boolean = true
cupertino,commonMain,CupertinoDateTimePickerState.setSelection,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDateTimePicker.kt,720,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,"@Suppress(""AutoBoxing"") dateMillis: Long",,,,"@Suppress(""AutoBoxing"") dateMillis: Long"
cupertino,commonMain,CupertinoDateTimePickerState.Companion.Saver,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDateTimePicker.kt,733,available (some APIs use nonIos actual),available (some APIs use nonIos actual),False,is24Hour : Boolean,,,,is24Hour : Boolean
cupertino,commonMain,CupertinoDatePickerDefaults.pagerTextStyles,cupertino/src/commonMain/kotlin/io/github/alexzhirkevich/cupertino/CupertinoDateTimePicker.kt,799,available (some APIs use nonIos actual),available (some APIs use nonIos actual),True,,,,,headline : TextStyle = CupertinoTheme.typography.headline; day : TextStyle = CupertinoTheme.typography.title3; selectedDay : TextStyle = day.copy(fontWeight = FontWeight.Bold); weekday : TextStyle = CupertinoTheme.typography.footnote             .copy(fontWeight = FontWeight.SemiBold); monthWheel : TextStyle = CupertinoPickerDefaults.textStyle
